Name,Formula,Charge,Molar Mass (left blank for auto calculation)
Acetate,CH3COO,1-,
Ammonium,NH4,1+,
Benzonate,C6H5COO,1-,
Borate,BO3,3-,
Carbide,C2,2-,
Carbonate,CO3,2-,
Hydrogen Carbonate,HCO3,1-,
Perchlorate,ClO4,1-,
Chlorate,ClO3,1-,
Chlorite,ClO2,1-,
Hypochlorite,ClO,1-,
Chromate,CrO4,2-,
Dichromate,Cr2O7,2-,
Cyanide,CN,1-,
Hydroxide,OH,1-,
Iodate,IO3,1-,
Nitrate,NO3,1-,
Nitrite,NO2,1-,
Oxalate,OOCCOO,2-,
Hydrogen Oxalate,HOOCCOO,1-,
Permanganate,MnO4,1-,
Peroxide,O2,2-,
Persulfide,S2,2-,
Phosphate,PO4,3-,
Hydrogen Phosphate,HPO4,2-,
Dihydrogen Phosphate,H2PO4,1-,
Silicate,SiO3,2-,
Sulfate,SO4,2-,
Hydrogen Sulfate,HSO4,1-,
Sulfite,SO3,2-,
Hydrogen Sulfite,HSO3,1-,
Hydrogen Sulfide,HS,1-,
Thiocyanate,SCN,1-,
Thiosulfate,S2O3,2-,
